Date-Time;Latitude;Longitude;Altitude(cm);GPSSpeed(mknots);CarSpeed(Km/h);Engine(RPM);CarLoad(%);MassAir(g/s);AccelX(g);AccelY(g);AccelZ(g);GyroX(dps);GyroY(dps);GyroZ(dps);T_OBD(ms);T_SAVE(ms);T_MAIN(ms)
7/6/2021-2:44:24.700;508566315;45363032;7540;18084;34;1347;43;18;-0.2430;-0.6329;0.4553;1.68;-2.17;-1.33;18;32;50
7/6/2021-2:44:24.800;508566235;45363077;7550;18277;34;1337;37;18;0.0288;-0.7520;0.6690;-0.42;-5.18;-3.22;19;37;55
7/6/2021-2:44:24.900;508566158;45363127;7550;17972;33;1343;19;17;0.0078;-0.9750;0.5300;-3.08;-4.06;-0.91;17;32;51
7/6/2021-2:44:25.0;508566078;45363175;7560;18257;33;1312;17;13;-0.0220;-0.7569;0.7745;4.06;-2.24;-1.54;18;32;49
7/6/2021-2:44:25.100;508566000;45363218;7560;17897;33;1307;20;10;-0.0356;-11.024;0.4875;5.53;-5.88;-0.98;19;31;49
7/6/2021-2:44:25.200;508565922;45363267;7560;18168;33;1310;19;10;0.0381;-0.6910;0.6920;5.04;-6.79;-1.26;22;31;50
7/6/2021-2:44:25.300;508565842;45363310;7560;18088;33;1328;16;10;0.0215;-0.6598;0.4387;3.57;-2.52;0.63;22;36;58
7/6/2021-2:44:25.400;508565765;45363358;7560;18098;33;1343;12;9;0.2113;-0.7544;0.8662;1.12;-6.58;1.33;18;31;53
7/6/2021-2:44:25.500;508565685;45363402;7570;18047;33;1320;9;8;-0.0181;-0.7910;0.5456;2.45;-3.22;-0.63;21;32;50
7/6/2021-2:44:25.600;508565608;45363447;7570;17928;32;1284;7;8;-0.1449;-0.8111;0.5158;1.68;0.84;-2.87;22;31;52
7/6/2021-2:44:25.700;508565532;45363492;7570;17656;32;1269;0;8;0.0620;-10.414;0.4909;-0.35;-3.50;1.68;21;37;59
7/6/2021-2:44:25.800;508565455;45363537;7580;17644;32;1299;0;8;-0.0473;-0.2987;0.6666;6.37;-3.99;-1.96;17;32;53
7/6/2021-2:44:25.900;508565380;45363577;7580;17428;32;1268;0;9;-0.1381;-0.7252;0.1713;3.01;-0.70;-1.61;22;32;49
7/6/2021-2:44:26.0;508565307;45363622;7580;17256;31;1282;0;8;0.0810;-0.6515;0.4363;3.50;-0.35;-0.77;18;31;53
