Date-Time,Latitude,Longitude,Altitude(cm),GPSSpeed(mknots),CarSpeed(Km/h),Engine(RPM),CarLoad(%),MassAir(g/s),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),T_OBD(ms),T_SAVE(ms),T_MAIN(ms)
6/6/2021-24:38:55.600,508610267,45288657,7140,36779,70,2744,98,89,0.0464,-0.6095,0.7188,-2.66,-2.80,-1.19,20,34,51
6/6/2021-24:38:55.700,508610278,45288383,7140,37411,71,2775,99,90,-0.0307,-0.6095,0.9077,1.61,-3.22,-2.66,18,34,54
6/6/2021-24:38:55.800,508610290,45288107,7130,37849,71,2806,99,91,-0.0688,-0.7100,0.7169,3.01,-3.92,-2.31,20,34,52
6/6/2021-24:38:55.900,508610302,45287828,7130,38170,72,2843,99,92,-0.0776,-0.8008,0.7832,5.88,-3.50,-1.12,21,37,57
6/6/2021-24:38:56.0,508610315,45287547,7120,38611,73,2882,99,93,-0.0015,-0.6905,0.7247,4.34,-5.18,-0.84,19,34,55
6/6/2021-24:38:56.100,508610327,45287262,7120,39177,74,2911,98,94,-0.0356,-0.6686,0.6998,-0.63,-4.48,-2.17,19,34,53
6/6/2021-24:38:56.200,508610340,45286973,7120,39565,75,2944,98,95,-0.0122,-0.5197,0.5915,-0.49,-4.83,-2.17,25,33,52
6/6/2021-24:38:56.300,508610352,45286680,7110,40061,76,2983,98,97,-0.0381,-0.7647,0.6993,1.40,-7.70,-3.78,19,34,59
6/6/2021-24:38:56.400,508610365,45286385,7110,40494,77,3010,98,99,-0.1225,-0.7579,0.6051,5.04,-3.43,-1.75,25,39,58
6/6/2021-24:38:56.500,508610377,45286087,7110,40886,77,3048,97,101,0.0073,-0.7788,0.7671,-0.77,-5.04,-1.96,18,34,59
6/6/2021-24:38:56.600,508610388,45285785,7100,41429,78,3057,57,86,0.0488,-0.8150,0.7003,-1.40,-4.06,-0.91,19,34,52
6/6/2021-24:38:56.700,508610402,45285478,7100,41867,78,3020,12,65,-0.0083,-0.7647,0.6266,-0.91,-2.80,-0.98,20,34,53
6/6/2021-24:38:56.800,508610413,45285173,7090,41996,78,3052,11,56,-0.0195,-0.8164,0.5949,-0.35,-4.34,-2.87,18,38,58
6/6/2021-24:38:56.900,508610427,45284867,7090,41979,78,3061,13,50,-0.0356,-0.8403,0.4480,0.77,-4.27,-3.43,17,34,52
6/6/2021-24:38:57.0,508610438,45284562,7090,41905,78,3023,9,46,-0.0239,-0.8086,0.5061,0.42,-4.20,-2.10,21,35,52
6/6/2021-24:38:57.100,508610452,45284257,7080,41850,77,3072,2,19,-0.0156,-0.8696,0.6525,1.40,-4.20,-2.45,19,33,54
6/6/2021-24:38:57.200,508610463,45283952,7080,41812,77,3057,7,27,0.0556,-0.8516,0.5563,2.31,-5.04,-2.17,19,38,57
6/6/2021-24:38:57.300,508610477,45283648,7070,41694,77,3059,0,34,0.0142,-0.8355,0.4412,0.77,-4.41,-1.40,20,34,53
6/6/2021-24:38:57.400,508610490,45283345,7070,41630,77,3040,0,33,-0.0839,-0.8520,0.4778,0.63,-1.96,-0.21,25,33,53
6/6/2021-24:38:57.500,508610503,45283042,7060,41482,76,3029,0,32,-0.0195,-0.9599,0.5270,2.31,-3.01,-1.26,18,33,58
6/6/2021-24:38:57.600,508610517,45282742,7060,41197,76,3007,0,31,-0.0024,-1.0009,0.5334,1.89,-4.27,-2.73,20,34,52
6/6/2021-24:38:57.700,508610528,45282445,7050,40840,75,2981,0,31,-0.0220,-1.0082,0.3577,0.56,-5.32,-2.38,20,38,58
6/6/2021-24:38:57.800,508610542,45282150,7050,40488,74,2946,0,31,-0.0537,-0.9872,0.3460,1.05,-4.83,-1.82,19,33,53
6/6/2021-24:38:57.900,508610555,45281858,7040,40109,73,2912,0,31,-0.0327,-0.8984,0.3860,0.91,-4.62,-1.82,20,34,53
6/6/2021-24:38:58.0,508610568,45281570,7040,39591,72,2878,0,30,-0.0381,-0.9306,0.1918,2.87,-3.57,-0.56,20,34,54
6/6/2021-24:38:58.100,508610580,45281287,7040,39059,71,2839,0,29,-0.0776,-0.9706,0.3265,3.99,-3.36,-1.47,19,38,58
6/6/2021-24:38:58.200,508610593,45281005,7030,38584,70,2809,0,29,-0.0776,-1.0228,0.4006,2.17,-3.57,-1.89,19,34,53
6/6/2021-24:38:58.300,508610605,45280728,7030,38052,70,2772,0,28,-0.0956,-1.0141,0.3928,2.38,-6.65,-3.36,18,33,52
6/6/2021-24:38:58.400,508610615,45280455,7020,37531,68,2729,0,26,-0.0107,-1.0443,0.4128,3.85,-4.90,-2.59,25,34,52
6/6/2021-24:38:58.500,508610627,45280187,7020,37012,67,2693,0,26,-0.0527,-0.9433,0.4670,3.64,-3.29,-2.10,20,33,58
6/6/2021-24:38:58.600,508610637,45279922,7020,36431,66,2654,0,25,-0.0805,-0.9155,0.3133,-0.84,-3.85,0.42,24,38,58
6/6/2021-24:38:58.700,508610648,45279658,7010,36033,65,2612,0,24,-0.0864,-0.9628,0.2772,3.08,-3.78,-0.21,18,34,58
6/6/2021-24:38:58.800,508610658,45279400,7010,35474,64,2573,0,23,-0.1698,-1.0048,0.2538,1.75,-5.25,-0.49,22,34,52
6/6/2021-24:38:58.900,508610668,45279147,7000,34806,63,2535,0,42,-0.1039,-0.9243,0.2728,4.41,-4.55,-0.70,20,34,56
